cdp,cdpx,cdpy
1,119.85982575,22.6656359999999
2,119.859847375,22.6656175000001
3,119.859868999999,22.6655989999999
4,119.859890625,22.6655805
5,119.85991225,22.6655620000001
6,119.859933874999,22.6655435
7,119.8599555,22.6655249999999
8,119.859977125,22.6655065
9,119.859998749999,22.6654879999999
10,119.860020375,22.6654695
11,119.860042,22.6654510000001
12,119.860063624999,22.6654325
13,119.86008525,22.6654139999998
14,119.860106875,22.6653954999999
15,119.8601285,22.6653769999999
16,119.860150125,22.6653585
17,119.86017175,22.66534
18,119.860193375,22.6653215
19,119.860215000001,22.665303
20,119.860236625,22.6652845
21,119.86025825,22.665266
22,119.860279875,22.6652475
23,119.8603015,22.665229
24,119.860323125,22.6652104999999
25,119.86034475,22.665192
26,119.860366375,22.6651734999999
27,119.860388,22.665155
28,119.860409625,22.6651365
29,119.86043125,22.6651179999999
30,119.860452875,22.6650995
31,119.8604745,22.665081
32,119.860496125,22.6650625000001
33,119.86051775,22.665044
34,119.860539375,22.6650255
35,119.860561,22.6650070000001
36,119.860582625,22.6649884999999
37,119.86060425,22.6649699999999
38,119.860625875,22.6649515
39,119.8606475,22.664933
40,119.860669125,22.6649145
41,119.86069075,22.664896
42,119.860712375,22.6648775
43,119.860734,22.664859
44,119.860755625,22.6648405
45,119.86077725,22.664822
46,119.860798875,22.6648035
47,119.8608205,22.664785
48,119.860842125,22.6647665
49,119.86086375,22.664748
50,119.860885375,22.6647295
51,119.860907,22.664711
52,119.860928625,22.6646925
53,119.86095025,22.664674
54,119.860971875,22.6646555
55,119.8609935,22.664637
56,119.861015125,22.6646185
57,119.86103675,22.6646
58,119.861058375,22.6645815
59,119.86108,22.664563
60,119.861101625,22.6645445
61,119.86112325,22.664526
62,119.861144875,22.6645075
63,119.8611665,22.664489
64,119.861188125,22.6644705
65,119.86120975,22.664452
66,119.861231375,22.6644335
67,119.861253,22.664415
68,119.861273,22.664397875
69,119.861293,22.66438075
70,119.861313,22.664363625
71,119.861333,22.6643465
72,119.861353,22.664329375
73,119.861373,22.66431225
74,119.861393,22.664295125
75,119.861413,22.664278
76,119.861433875,22.664260375
